KUNNR,VKORG,VTWEG,CUSTOMER_TIER,CLOSE_TIME
1009,2000,10,Platinum,18:00
1009,3000,10,Gold,24:00
1009,1000,20,Independent,19:00
1005,1000,10,Independent,17:30
1005,3000,20,Gold,17:30
1005,1000,20,Independent,19:00
1010,1000,10,Platinum,19:00
1010,1000,20,Independent,17:00
1007,1000,10,Platinum,24:00
1007,2000,10,Platinum,19:00
1007,2000,20,Independent,17:00
1010,1000,10,Gold,19:00
1005,2000,20,Platinum,19:00
1005,1000,10,Platinum,17:30
1005,3000,10,Gold,18:00
1008,1000,10,Gold,17:30
1002,3000,20,Gold,17:00
1002,2000,20,Gold,17:00
1002,1000,10,Platinum,17:30
1003,3000,10,Gold,18:00
1003,1000,10,Independent,24:00
1004,1000,10,Platinum,17:00
1004,3000,10,Independent,17:00
1004,1000,10,Independent,19:00
