VBELN,POSNR,VGBEL,WERKS,BRGEW,VRKME
900000000000001,100001,800000000000001,PL03,1200.0,PAL
900000000000001,100002,800000000000002,PL01,1200.0,CS
900000000000001,100003,800000000000003,PL01,8000.0,BAG
900000000000001,100004,800000000000004,PL01,1200.0,BAG
900000000000001,100005,800000000000005,PL03,15000.0,CS
900000000000001,100006,800000000000006,PL02,15000.0,BAG
900000000000001,100007,800000000000007,PL03,1200.0,PAL
900000000000001,100008,800000000000008,PL02,8000.0,PAL
900000000000001,100009,800000000000009,PL02,500.0,CS
900000000000001,100010,800000000000010,PL02,15000.0,CS
900000000000001,100011,800000000000011,PL02,1200.0,BAG
900000000000001,100012,800000000000012,PL03,15000.0,BAG
900000000000001,100013,800000000000013,PL03,15000.0,PAL
900000000000001,100014,800000000000014,PL01,8000.0,CS
900000000000001,100015,800000000000015,PL02,4500.0,CS
900000000000001,100016,800000000000016,PL01,8000.0,CS
900000000000001,100017,800000000000017,PL02,4500.0,CS
900000000000002,100018,800000000000018,PL01,15000.0,PAL
900000000000002,100019,800000000000019,PL01,15000.0,PAL
900000000000002,100020,800000000000020,PL03,15000.0,BAG
900000000000002,100021,800000000000021,PL01,4500.0,CS
900000000000002,100022,800000000000022,PL02,1200.0,PAL
900000000000002,100023,800000000000023,PL02,1200.0,BAG
900000000000002,100024,800000000000024,PL01,15000.0,CS
900000000000002,100025,800000000000025,PL01,500.0,BAG
900000000000002,100026,800000000000026,PL03,1200.0,PAL
900000000000002,100027,800000000000027,PL03,1200.0,BAG
900000000000002,100028,800000000000028,PL01,500.0,BAG
900000000000002,100029,800000000000029,PL02,8000.0,BAG
900000000000002,100030,800000000000030,PL01,4500.0,CS
900000000000002,100031,800000000000031,PL01,1200.0,CS
900000000000002,100032,800000000000032,PL02,1200.0,CS
900000000000002,100033,800000000000033,PL03,500.0,PAL
900000000000002,100034,800000000000034,PL01,1200.0,CS
900000000000003,100035,800000000000035,PL01,8000.0,PAL
900000000000003,100036,800000000000036,PL02,15000.0,PAL
900000000000003,100037,800000000000037,PL01,15000.0,PAL
900000000000003,100038,800000000000038,PL02,500.0,PAL
900000000000003,100039,800000000000039,PL01,4500.0,BAG
900000000000003,100040,800000000000040,PL03,8000.0,CS
900000000000003,100041,800000000000041,PL01,8000.0,BAG
900000000000003,100042,800000000000042,PL02,4500.0,CS
900000000000003,100043,800000000000043,PL02,8000.0,PAL
900000000000003,100044,800000000000044,PL01,1200.0,BAG
900000000000003,100045,800000000000045,PL01,15000.0,CS
900000000000003,100046,800000000000046,PL03,1200.0,BAG
900000000000004,100047,800000000000047,PL03,4500.0,BAG
900000000000004,100048,800000000000048,PL02,15000.0,PAL
900000000000004,100049,800000000000049,PL01,1200.0,PAL
900000000000004,100050,800000000000050,PL02,15000.0,PAL
900000000000004,100051,800000000000051,PL02,4500.0,CS
900000000000004,100052,800000000000052,PL02,15000.0,CS
900000000000004,100053,800000000000053,PL03,4500.0,BAG
900000000000004,100054,800000000000054,PL03,500.0,BAG
900000000000005,100055,800000000000055,PL02,8000.0,CS
900000000000005,100056,800000000000056,PL01,4500.0,CS
900000000000005,100057,800000000000057,PL02,500.0,PAL
900000000000005,100058,800000000000058,PL01,15000.0,BAG
900000000000005,100059,800000000000059,PL02,1200.0,CS
900000000000006,100060,800000000000060,PL01,15000.0,PAL
900000000000006,100061,800000000000061,PL02,8000.0,PAL
900000000000006,100062,800000000000062,PL01,8000.0,CS
900000000000006,100063,800000000000063,PL02,4500.0,CS
900000000000006,100064,800000000000064,PL03,500.0,PAL
900000000000006,100065,800000000000065,PL02,15000.0,CS
900000000000006,100066,800000000000066,PL01,4500.0,BAG
900000000000006,100067,800000000000067,PL01,8000.0,PAL
900000000000006,100068,800000000000068,PL01,15000.0,PAL
900000000000006,100069,800000000000069,PL01,15000.0,PAL
900000000000006,100070,800000000000070,PL02,4500.0,PAL
900000000000006,100071,800000000000071,PL01,8000.0,BAG
900000000000006,100072,800000000000072,PL03,1200.0,BAG
900000000000006,100073,800000000000073,PL01,4500.0,CS
900000000000006,100074,800000000000074,PL01,8000.0,PAL
900000000000006,100075,800000000000075,PL03,4500.0,BAG
900000000000006,100076,800000000000076,PL03,500.0,CS
900000000000007,100077,800000000000077,PL02,500.0,CS
900000000000007,100078,800000000000078,PL02,8000.0,BAG
900000000000007,100079,800000000000079,PL02,15000.0,BAG
900000000000007,100080,800000000000080,PL02,15000.0,CS
900000000000007,100081,800000000000081,PL01,15000.0,BAG
900000000000007,100082,800000000000082,PL03,500.0,CS
900000000000008,100083,800000000000083,PL01,15000.0,CS
900000000000008,100084,800000000000084,PL01,15000.0,CS
900000000000008,100085,800000000000085,PL03,1200.0,BAG
900000000000008,100086,800000000000086,PL03,4500.0,BAG
900000000000008,100087,800000000000087,PL03,15000.0,BAG
900000000000008,100088,800000000000088,PL03,8000.0,CS
900000000000008,100089,800000000000089,PL02,15000.0,CS
900000000000008,100090,800000000000090,PL02,1200.0,PAL
900000000000009,100091,800000000000091,PL03,15000.0,BAG
900000000000009,100092,800000000000092,PL03,500.0,CS
900000000000009,100093,800000000000093,PL01,500.0,PAL
900000000000009,100094,800000000000094,PL02,500.0,PAL
900000000000009,100095,800000000000095,PL02,500.0,PAL
900000000000009,100096,800000000000096,PL03,8000.0,CS
900000000000009,100097,800000000000097,PL01,500.0,CS
900000000000009,100098,800000000000098,PL03,1200.0,CS
900000000000009,100099,800000000000099,PL01,15000.0,CS
900000000000009,100100,800000000000100,PL03,4500.0,BAG
900000000000009,100101,800000000000101,PL01,15000.0,PAL
900000000000009,100102,800000000000102,PL03,500.0,PAL
900000000000009,100103,800000000000103,PL02,1200.0,CS
900000000000009,100104,800000000000104,PL03,15000.0,PAL
900000000000009,100105,800000000000105,PL03,1200.0,BAG
900000000000009,100106,800000000000106,PL03,1200.0,PAL
900000000000009,100107,800000000000107,PL02,4500.0,BAG
900000000000009,100108,800000000000108,PL03,1200.0,CS
900000000000009,100109,800000000000109,PL01,15000.0,BAG
900000000000010,100110,800000000000110,PL01,500.0,CS
900000000000010,100111,800000000000111,PL02,500.0,PAL
900000000000010,100112,800000000000112,PL02,15000.0,CS
900000000000010,100113,800000000000113,PL03,4500.0,BAG
900000000000010,100114,800000000000114,PL02,1200.0,BAG
900000000000010,100115,800000000000115,PL02,1200.0,BAG
900000000000010,100116,800000000000116,PL03,1200.0,PAL
900000000000010,100117,800000000000117,PL01,1200.0,CS
900000000000010,100118,800000000000118,PL01,1200.0,CS
900000000000010,100119,800000000000119,PL02,4500.0,BAG
900000000000010,100120,800000000000120,PL03,1200.0,BAG
900000000000010,100121,800000000000121,PL03,1200.0,CS
900000000000010,100122,800000000000122,PL02,15000.0,PAL
900000000000010,100123,800000000000123,PL01,15000.0,PAL
900000000000010,100124,800000000000124,PL03,4500.0,BAG
900000000000011,100125,800000000000125,PL03,4500.0,CS
900000000000011,100126,800000000000126,PL02,500.0,CS
900000000000011,100127,800000000000127,PL01,8000.0,PAL
900000000000011,100128,800000000000128,PL01,4500.0,BAG
900000000000011,100129,800000000000129,PL03,15000.0,BAG
900000000000011,100130,800000000000130,PL02,15000.0,PAL
900000000000011,100131,800000000000131,PL01,15000.0,BAG
900000000000011,100132,800000000000132,PL02,15000.0,BAG
900000000000011,100133,800000000000133,PL02,15000.0,BAG
900000000000011,100134,800000000000134,PL02,8000.0,CS
900000000000011,100135,800000000000135,PL02,500.0,CS
900000000000011,100136,800000000000136,PL01,500.0,PAL
900000000000011,100137,800000000000137,PL01,8000.0,BAG
900000000000011,100138,800000000000138,PL01,15000.0,PAL
900000000000011,100139,800000000000139,PL03,500.0,BAG
900000000000011,100140,800000000000140,PL01,1200.0,PAL
900000000000011,100141,800000000000141,PL02,8000.0,BAG
900000000000012,100142,800000000000142,PL03,500.0,BAG
900000000000012,100143,800000000000143,PL03,15000.0,CS
900000000000012,100144,800000000000144,PL02,1200.0,CS
900000000000012,100145,800000000000145,PL02,500.0,CS
900000000000012,100146,800000000000146,PL01,500.0,PAL
900000000000012,100147,800000000000147,PL03,500.0,BAG
900000000000012,100148,800000000000148,PL03,1200.0,PAL
900000000000012,100149,800000000000149,PL03,500.0,BAG
900000000000012,100150,800000000000150,PL02,500.0,PAL
900000000000012,100151,800000000000151,PL01,1200.0,CS
900000000000012,100152,800000000000152,PL03,8000.0,BAG
900000000000012,100153,800000000000153,PL03,500.0,BAG
900000000000012,100154,800000000000154,PL01,4500.0,CS
900000000000012,100155,800000000000155,PL03,4500.0,PAL
900000000000012,100156,800000000000156,PL03,4500.0,BAG
900000000000013,100157,800000000000157,PL03,1200.0,PAL
900000000000013,100158,800000000000158,PL03,1200.0,PAL
900000000000013,100159,800000000000159,PL01,1200.0,CS
900000000000013,100160,800000000000160,PL02,15000.0,CS
900000000000013,100161,800000000000161,PL03,15000.0,PAL
900000000000013,100162,800000000000162,PL02,15000.0,BAG
900000000000013,100163,800000000000163,PL01,4500.0,BAG
900000000000013,100164,800000000000164,PL03,1200.0,CS
900000000000013,100165,800000000000165,PL01,8000.0,PAL
900000000000013,100166,800000000000166,PL02,4500.0,PAL
900000000000013,100167,800000000000167,PL03,1200.0,BAG
900000000000013,100168,800000000000168,PL01,4500.0,CS
900000000000013,100169,800000000000169,PL03,8000.0,PAL
900000000000014,100170,800000000000170,PL01,4500.0,CS
900000000000014,100171,800000000000171,PL03,500.0,PAL
900000000000014,100172,800000000000172,PL02,4500.0,PAL
900000000000014,100173,800000000000173,PL03,4500.0,PAL
900000000000014,100174,800000000000174,PL02,1200.0,BAG
900000000000014,100175,800000000000175,PL03,4500.0,BAG
900000000000014,100176,800000000000176,PL03,500.0,PAL
900000000000014,100177,800000000000177,PL01,4500.0,PAL
900000000000014,100178,800000000000178,PL03,15000.0,CS
900000000000014,100179,800000000000179,PL02,1200.0,CS
900000000000014,100180,800000000000180,PL03,500.0,PAL
900000000000014,100181,800000000000181,PL02,1200.0,BAG
900000000000015,100182,800000000000182,PL02,4500.0,PAL
900000000000015,100183,800000000000183,PL01,500.0,BAG
900000000000015,100184,800000000000184,PL02,8000.0,BAG
900000000000015,100185,800000000000185,PL02,8000.0,BAG
900000000000015,100186,800000000000186,PL01,8000.0,BAG
900000000000015,100187,800000000000187,PL02,8000.0,BAG
900000000000015,100188,800000000000188,PL02,8000.0,PAL
900000000000015,100189,800000000000189,PL01,15000.0,BAG
900000000000015,100190,800000000000190,PL01,8000.0,CS
900000000000015,100191,800000000000191,PL01,4500.0,CS
900000000000015,100192,800000000000192,PL03,1200.0,PAL
