VBELN,KUNNR,ERDAT,ERNAM,VDATU,AUART,NETWR,WAERK
800000000000001,1005,2026-05-24,COLLINSADAM,2026-09-28,RUSH,91125.68,USD
800000000000002,1002,2026-09-28,ROYKING,2026-10-27,RUSH,89489.15,USD
800000000000003,1009,2026-05-24,DONEILL,2026-05-02,RUSH,63544.59,USD
800000000000004,1002,2026-10-31,REBECCA18,2026-05-02,RUSH,9952.06,USD
800000000000005,1006,2026-05-08,EDWARDDUDLEY,2026-07-10,RUSH,8426.55,USD
800000000000006,1004,2026-06-10,LLAMBERT,2026-10-26,STANDARD,53969.92,USD
800000000000007,1009,2026-07-27,LUIS00,2026-07-11,STANDARD,34375.38,USD
800000000000008,1008,2026-06-29,HHILL,2026-09-21,RUSH,50890.78,USD
800000000000009,1004,2026-07-02,WBELL,2026-05-09,STANDARD,47867.66,USD
800000000000010,1007,2026-05-09,MERCADOAMBER,2026-11-11,RUSH,71910.91,USD
800000000000011,1003,2026-05-24,CHERNANDEZ,2026-11-11,RUSH,25866.26,USD
800000000000012,1003,2026-07-11,UCOMBS,2026-06-09,STANDARD,8372.39,USD
800000000000013,1010,2026-10-31,YPEARSON,2026-11-24,STANDARD,50172.94,USD
800000000000014,1007,2026-09-21,TMARTINEZ,2026-08-17,RUSH,39245.67,USD
800000000000015,1007,2026-10-21,PEREZKARL,2026-07-11,STANDARD,95105.15,USD
800000000000016,1010,2026-05-07,MCKENZIEDILL,2026-06-09,STANDARD,18876.12,USD
800000000000017,1001,2026-07-10,RAMIREZCHRIS,2026-10-02,RUSH,95380.45,USD
800000000000018,1010,2026-05-09,SAMUELCHUNG,2026-06-27,RUSH,98751.99,USD
800000000000019,1007,2026-05-24,MSMITH,2026-09-29,RUSH,64614.44,USD
800000000000020,1008,2026-10-21,TIMOTHYJORDA,2026-06-29,RUSH,85191.32,USD
800000000000021,1004,2026-10-02,JAMES59,2026-06-27,STANDARD,79927.53,USD
800000000000022,1003,2026-05-24,ROBERSONPAUL,2026-05-09,STANDARD,56718.7,USD
800000000000023,1005,2026-08-16,TAYLORJENNIF,2026-09-28,RUSH,82915.61,USD
800000000000024,1003,2026-06-10,JMOORE,2026-05-08,STANDARD,29196.74,USD
800000000000025,1001,2026-07-02,HUMPHREYKARE,2026-10-02,RUSH,18118.99,USD
800000000000026,1010,2026-11-05,NGUYENAARON,2026-08-16,STANDARD,46499.79,USD
800000000000027,1004,2026-07-11,FKIDD,2026-10-31,STANDARD,64134.78,USD
