VBELN,POSNR,MATNR,WERKS,KWMENG,NETPR,WAERK
800000000000001,100001,M-508,PL01,50.0,97729.71,USD
800000000000001,100002,M-508,PL01,50.0,68295.25,USD
800000000000001,100003,M-506,PL02,50.0,54848.12,USD
800000000000001,100004,M-505,PL02,50.0,44091.45,USD
800000000000001,100005,M-507,PL03,200.0,30850.12,USD
800000000000001,100006,M-502,PL01,10.0,65401.39,USD
800000000000001,100007,M-505,PL02,10.0,80685.8,USD
800000000000001,100008,M-506,PL01,120.0,3237.52,USD
800000000000001,100009,M-507,PL02,10.0,54460.19,USD
800000000000001,100010,M-502,PL03,120.0,4323.29,USD
800000000000001,100011,M-500,PL02,10.0,154.02,USD
800000000000001,100012,M-506,PL01,120.0,61031.79,USD
800000000000001,100013,M-506,PL03,10.0,54716.33,USD
800000000000002,100014,M-505,PL03,500.0,79711.44,USD
800000000000002,100015,M-503,PL02,50.0,94364.84,USD
800000000000002,100016,M-506,PL02,120.0,87055.14,USD
800000000000002,100017,M-504,PL02,50.0,52117.0,USD
800000000000003,100018,M-502,PL01,200.0,96486.2,USD
800000000000003,100019,M-509,PL01,200.0,91037.25,USD
800000000000003,100020,M-502,PL01,10.0,51236.18,USD
800000000000003,100021,M-503,PL01,120.0,11037.84,USD
800000000000003,100022,M-508,PL01,10.0,52708.98,USD
800000000000003,100023,M-505,PL02,200.0,10329.41,USD
800000000000003,100024,M-500,PL02,10.0,76840.73,USD
800000000000004,100025,M-501,PL02,200.0,71090.94,USD
800000000000004,100026,M-508,PL02,10.0,63346.38,USD
800000000000004,100027,M-504,PL01,120.0,88027.21,USD
800000000000004,100028,M-506,PL03,120.0,126.63,USD
800000000000005,100029,M-506,PL03,10.0,65977.76,USD
800000000000005,100030,M-505,PL03,10.0,34963.21,USD
800000000000005,100031,M-504,PL03,500.0,69263.57,USD
800000000000005,100032,M-509,PL03,500.0,12117.53,USD
800000000000005,100033,M-501,PL02,10.0,96792.72,USD
800000000000005,100034,M-505,PL01,500.0,42950.42,USD
800000000000005,100035,M-505,PL01,500.0,21629.0,USD
800000000000006,100036,M-500,PL03,200.0,6190.48,USD
800000000000006,100037,M-506,PL02,10.0,64381.93,USD
800000000000006,100038,M-500,PL02,10.0,86795.29,USD
800000000000006,100039,M-508,PL03,50.0,53336.4,USD
800000000000006,100040,M-504,PL03,500.0,86257.22,USD
800000000000006,100041,M-508,PL02,50.0,50854.89,USD
800000000000006,100042,M-503,PL03,50.0,37843.22,USD
800000000000007,100043,M-505,PL01,10.0,76309.26,USD
800000000000007,100044,M-503,PL01,500.0,48588.36,USD
800000000000008,100045,M-504,PL03,10.0,86540.92,USD
800000000000008,100046,M-505,PL01,10.0,48719.66,USD
800000000000008,100047,M-509,PL01,50.0,66698.56,USD
800000000000008,100048,M-500,PL03,50.0,21305.2,USD
800000000000008,100049,M-502,PL03,50.0,301.82,USD
800000000000008,100050,M-504,PL02,50.0,4614.54,USD
800000000000008,100051,M-506,PL02,120.0,25229.67,USD
800000000000008,100052,M-507,PL03,200.0,7148.62,USD
800000000000009,100053,M-503,PL01,10.0,80603.55,USD
800000000000009,100054,M-503,PL02,500.0,30373.92,USD
800000000000009,100055,M-500,PL02,500.0,10465.54,USD
800000000000009,100056,M-508,PL03,500.0,18945.38,USD
800000000000009,100057,M-507,PL02,500.0,1540.57,USD
800000000000009,100058,M-508,PL01,500.0,99164.9,USD
800000000000009,100059,M-509,PL02,200.0,8760.3,USD
800000000000009,100060,M-501,PL03,500.0,29537.41,USD
800000000000009,100061,M-504,PL02,120.0,65646.49,USD
800000000000009,100062,M-503,PL02,200.0,33066.38,USD
800000000000009,100063,M-505,PL01,120.0,25167.25,USD
800000000000009,100064,M-502,PL01,10.0,80152.87,USD
800000000000009,100065,M-509,PL02,200.0,96625.36,USD
800000000000009,100066,M-508,PL03,120.0,62785.6,USD
800000000000009,100067,M-502,PL01,500.0,45222.53,USD
800000000000010,100068,M-506,PL03,50.0,37242.64,USD
800000000000010,100069,M-506,PL02,500.0,7793.28,USD
800000000000010,100070,M-508,PL02,500.0,88830.31,USD
800000000000010,100071,M-504,PL01,200.0,58475.6,USD
800000000000010,100072,M-500,PL03,120.0,52257.87,USD
800000000000010,100073,M-504,PL03,120.0,55317.56,USD
800000000000010,100074,M-509,PL01,200.0,49980.2,USD
800000000000010,100075,M-508,PL02,50.0,30598.4,USD
800000000000010,100076,M-500,PL03,200.0,83176.63,USD
800000000000011,100077,M-507,PL01,50.0,37901.39,USD
800000000000011,100078,M-501,PL01,120.0,41416.18,USD
800000000000011,100079,M-503,PL01,50.0,8064.68,USD
800000000000011,100080,M-509,PL02,120.0,67786.16,USD
800000000000011,100081,M-504,PL02,120.0,67307.91,USD
800000000000011,100082,M-505,PL03,10.0,91360.27,USD
800000000000011,100083,M-506,PL03,120.0,2506.45,USD
800000000000011,100084,M-500,PL02,500.0,71669.1,USD
800000000000011,100085,M-508,PL03,500.0,63764.04,USD
800000000000011,100086,M-509,PL01,120.0,13834.74,USD
800000000000011,100087,M-507,PL02,200.0,37572.52,USD
800000000000011,100088,M-503,PL02,200.0,11670.71,USD
800000000000012,100089,M-501,PL01,500.0,85388.99,USD
800000000000012,100090,M-503,PL02,120.0,4113.8,USD
800000000000012,100091,M-502,PL03,500.0,99193.43,USD
