TKNUM,TPNUM,VBELN
TK-100000000001,100001,900000000000001
TK-100000000001,100002,900000000000002
TK-100000000001,100003,900000000000003
TK-100000000001,100004,900000000000004
TK-100000000001,100005,900000000000005
TK-100000000001,100006,900000000000006
TK-100000000001,100007,900000000000007
TK-100000000001,100008,900000000000008
TK-100000000001,100009,900000000000009
TK-100000000001,100010,900000000000010
TK-100000000001,100011,900000000000011
TK-100000000001,100012,900000000000012
TK-100000000001,100013,900000000000013
TK-100000000001,100014,900000000000014
TK-100000000001,100015,900000000000015
TK-100000000001,100016,900000000000016
TK-100000000001,100017,900000000000017
TK-100000000001,100018,900000000000018
TK-100000000001,100019,900000000000019
TK-100000000001,100020,900000000000020
TK-100000000001,100021,900000000000021
TK-100000000001,100022,900000000000022
TK-100000000001,100023,900000000000023
TK-100000000001,100024,900000000000024
TK-100000000001,100025,900000000000025
TK-100000000001,100026,900000000000026
TK-100000000001,100027,900000000000027
TK-100000000001,100028,900000000000028
TK-100000000001,100029,900000000000029
TK-100000000001,100030,900000000000030
TK-100000000001,100031,900000000000031
TK-100000000001,100032,900000000000032
TK-100000000001,100033,900000000000033
TK-100000000001,100034,900000000000034
TK-100000000002,100035,900000000000035
TK-100000000002,100036,900000000000036
TK-100000000002,100037,900000000000037
TK-100000000002,100038,900000000000038
TK-100000000002,100039,900000000000039
TK-100000000002,100040,900000000000040
TK-100000000002,100041,900000000000041
TK-100000000002,100042,900000000000042
TK-100000000002,100043,900000000000043
TK-100000000002,100044,900000000000044
TK-100000000002,100045,900000000000045
TK-100000000002,100046,900000000000046
TK-100000000002,100047,900000000000047
TK-100000000002,100048,900000000000048
TK-100000000002,100049,900000000000049
TK-100000000002,100050,900000000000050
TK-100000000002,100051,900000000000051
TK-100000000002,100052,900000000000052
TK-100000000002,100053,900000000000053
TK-100000000002,100054,900000000000054
TK-100000000002,100055,900000000000055
TK-100000000002,100056,900000000000056
TK-100000000002,100057,900000000000057
TK-100000000002,100058,900000000000058
TK-100000000002,100059,900000000000059
TK-100000000003,100060,900000000000060
TK-100000000003,100061,900000000000061
TK-100000000003,100062,900000000000062
TK-100000000003,100063,900000000000063
TK-100000000003,100064,900000000000064
TK-100000000003,100065,900000000000065
TK-100000000003,100066,900000000000066
TK-100000000003,100067,900000000000067
TK-100000000003,100068,900000000000068
TK-100000000003,100069,900000000000069
TK-100000000003,100070,900000000000070
TK-100000000003,100071,900000000000071
TK-100000000003,100072,900000000000072
TK-100000000003,100073,900000000000073
TK-100000000003,100074,900000000000074
TK-100000000004,100075,900000000000075
TK-100000000004,100076,900000000000076
TK-100000000004,100077,900000000000077
TK-100000000004,100078,900000000000078
TK-100000000004,100079,900000000000079
TK-100000000004,100080,900000000000080
TK-100000000004,100081,900000000000081
TK-100000000004,100082,900000000000082
TK-100000000004,100083,900000000000083
TK-100000000004,100084,900000000000084
TK-100000000004,100085,900000000000085
TK-100000000004,100086,900000000000086
TK-100000000004,100087,900000000000087
TK-100000000004,100088,900000000000088
TK-100000000004,100089,900000000000089
TK-100000000004,100090,900000000000090
TK-100000000004,100091,900000000000091
TK-100000000004,100092,900000000000092
TK-100000000004,100093,900000000000093
TK-100000000004,100094,900000000000094
TK-100000000004,100095,900000000000095
TK-100000000004,100096,900000000000096
TK-100000000004,100097,900000000000097
TK-100000000004,100098,900000000000098
TK-100000000004,100099,900000000000099
TK-100000000004,100100,900000000000100
TK-100000000004,100101,900000000000101
TK-100000000004,100102,900000000000102
TK-100000000004,100103,900000000000103
TK-100000000004,100104,900000000000104
TK-100000000004,100105,900000000000105
TK-100000000004,100106,900000000000106
TK-100000000004,100107,900000000000107
TK-100000000004,100108,900000000000108
TK-100000000004,100109,900000000000109
TK-100000000004,100110,900000000000110
TK-100000000005,100111,900000000000111
TK-100000000005,100112,900000000000112
TK-100000000005,100113,900000000000113
TK-100000000005,100114,900000000000114
TK-100000000005,100115,900000000000115
TK-100000000005,100116,900000000000116
TK-100000000005,100117,900000000000117
TK-100000000005,100118,900000000000118
TK-100000000005,100119,900000000000119
TK-100000000005,100120,900000000000120
TK-100000000005,100121,900000000000121
TK-100000000005,100122,900000000000122
TK-100000000005,100123,900000000000123
TK-100000000005,100124,900000000000124
TK-100000000005,100125,900000000000125
TK-100000000005,100126,900000000000126
TK-100000000005,100127,900000000000127
TK-100000000005,100128,900000000000128
TK-100000000005,100129,900000000000129
TK-100000000005,100130,900000000000130
TK-100000000005,100131,900000000000131
TK-100000000005,100132,900000000000132
TK-100000000005,100133,900000000000133
TK-100000000005,100134,900000000000134
TK-100000000005,100135,900000000000135
TK-100000000005,100136,900000000000136
TK-100000000005,100137,900000000000137
TK-100000000005,100138,900000000000138
TK-100000000005,100139,900000000000139
TK-100000000005,100140,900000000000140
TK-100000000005,100141,900000000000141
TK-100000000005,100142,900000000000142
TK-100000000005,100143,900000000000143
TK-100000000005,100144,900000000000144
TK-100000000005,100145,900000000000145
TK-100000000005,100146,900000000000146
TK-100000000005,100147,900000000000147
TK-100000000005,100148,900000000000148
TK-100000000005,100149,900000000000149
TK-100000000005,100150,900000000000150
TK-100000000005,100151,900000000000151
TK-100000000005,100152,900000000000152
