summary_id,summary_date,city_name,state,avg_temperature,max_temperature,min_temperature,avg_humidity,total_rainfall,avg_wind_speed,dominant_weather,strike_count,high_severity_count,weather_alert_count,updated_at
8,2026-08-21,Ahmedabad,Gujarat,28.02,28.02,28.02,65.0,0.0,2.57,Clouds,0,,0,2026-08-21T04:46:44.635011
3,2026-08-21,Bangalore,Karnataka,27.0,27.0,27.0,63.0,0.0,5.14,Clouds,0,,0,2026-08-21T04:46:44.634814
12,2026-08-21,Bhopal,Madhya Pradesh,24.18,24.18,24.18,88.0,0.34,5.14,Rain,0,,0,2026-08-21T04:46:44.635133
16,2026-08-21,Bhubaneswar,Odisha,31.98,31.98,31.98,70.0,0.0,2.06,Clouds,0,,0,2026-08-21T04:46:44.635249
11,2026-08-21,Chandigarh,Punjab,29.16,29.16,29.16,83.0,0.0,0.52,Clouds,0,,0,2026-08-21T04:46:44.635105
4,2026-08-21,Chennai,Tamil Nadu,33.64,33.64,33.64,60.0,0.0,6.17,Clouds,0,,0,2026-08-21T04:46:44.634858
19,2026-08-21,Dehradun,Uttarakhand,26.32,26.32,26.32,84.0,0.91,1.76,Rain,0,,0,2026-08-21T04:46:44.635334
2,2026-08-21,Delhi,Delhi,30.94,30.94,30.94,62.0,0.0,6.69,Clouds,0,,0,2026-08-21T04:46:44.634741
15,2026-08-21,Guwahati,Assam,31.0,31.0,31.0,74.0,0.24,0.0,Rain,0,,0,2026-08-21T04:46:44.635217
6,2026-08-21,Hyderabad,Telangana,29.02,29.02,29.02,63.0,0.0,32.88,Clouds,0,,1,2026-08-21T04:46:44.634944
9,2026-08-21,Jaipur,Rajasthan,27.68,27.68,27.68,69.0,0.0,3.6,Clouds,0,,0,2026-08-21T04:46:44.635039
14,2026-08-21,Kochi,Kerala,28.99,28.99,28.99,72.0,0.19,2.74,Rain,0,,0,2026-08-21T04:46:44.635189
5,2026-08-21,Kolkata,West Bengal,32.96,32.96,32.96,70.0,0.0,2.57,Clouds,0,,0,2026-08-21T04:46:44.634905
10,2026-08-21,Lucknow,Uttar Pradesh,32.05,32.05,32.05,79.0,0.0,2.57,Clouds,0,,0,2026-08-21T04:46:44.635075
1,2026-08-21,Mumbai,Maharashtra,30.0,30.0,30.0,74.0,0.34,6.17,Rain,0,,0,2026-08-21T04:46:44.633901
13,2026-08-21,Patna,Bihar,31.98,31.98,31.98,70.0,0.0,3.6,Clouds,0,,0,2026-08-21T04:46:44.635161
7,2026-08-21,Pune,Maharashtra,28.38,28.38,28.38,50.0,0.0,6.57,Clouds,0,,0,2026-08-21T04:46:44.634979
20,2026-08-21,Raipur,Chhattisgarh,23.07,23.07,23.07,100.0,0.16,6.17,Rain,0,,0,2026-08-21T04:46:44.635362
18,2026-08-21,Shimla,Himachal Pradesh,18.74,18.74,18.74,94.0,0.32,0.0,Rain,0,,0,2026-08-21T04:46:44.635306
17,2026-08-21,Srinagar,J&K,26.7,26.7,26.7,63.0,0.0,0.45,Clouds,0,,0,2026-08-21T04:46:44.635278
