reading_id,session_id,city_name,state,recorded_at,date_only,hour_of_day,temperature,feels_like,temp_min,temp_max,humidity,pressure,visibility_km,cloudiness,weather_main,weather_description,wind_speed,wind_direction,rain_1h,snow_1h,data_source
171,17,Mumbai,Maharashtra,2026-08-25T11:03:45,2026-08-25,11,30.0,36.04,29.95,30.0,74,1007.0,10.0,92,Clouds,overcast clouds,6.17,260,0.0,0.0,OpenWeatherMap
172,17,Delhi,Delhi,2026-08-25T11:03:45,2026-08-25,11,27.99,34.43,27.99,33.07,94,1002.0,10.0,33,Clouds,scattered clouds,2.06,250,0.0,0.0,OpenWeatherMap
173,17,Bangalore,Karnataka,2026-08-25T11:03:45,2026-08-25,11,26.43,26.43,24.95,27.57,73,1010.0,10.0,100,Clouds,overcast clouds,5.14,240,0.0,0.0,OpenWeatherMap
174,17,Chennai,Tamil Nadu,2026-08-25T11:03:45,2026-08-25,11,32.27,39.27,31.69,33.01,71,1005.0,10.0,100,Rain,light rain,4.12,200,0.16,0.0,OpenWeatherMap
175,17,Kolkata,West Bengal,2026-08-25T11:03:45,2026-08-25,11,30.96,37.96,30.96,30.96,84,1001.0,10.0,99,Clouds,overcast clouds,6.17,160,0.0,0.0,OpenWeatherMap
176,17,Hyderabad,Telangana,2026-08-25T11:03:45,2026-08-25,11,30.23,33.71,29.73,30.23,62,1007.0,10.0,89,Rain,light rain,5.14,260,0.32,0.0,OpenWeatherMap
177,17,Pune,Maharashtra,2026-08-25T11:03:45,2026-08-25,11,29.68,29.55,27.96,30.05,42,1008.0,10.0,61,Clouds,broken clouds,7.03,272,0.0,0.0,OpenWeatherMap
178,17,Ahmedabad,Gujarat,2026-08-25T11:03:45,2026-08-25,11,31.02,33.7,31.02,31.02,55,1004.0,10.0,92,Clouds,overcast clouds,4.12,230,0.0,0.0,OpenWeatherMap
179,17,Jaipur,Rajasthan,2026-08-25T11:03:45,2026-08-25,11,28.68,32.04,28.68,28.68,70,1002.0,10.0,100,Clouds,overcast clouds,2.06,70,0.0,0.0,OpenWeatherMap
180,17,Lucknow,Uttar Pradesh,2026-08-25T11:03:45,2026-08-25,11,29.05,36.05,29.05,29.05,94,1000.0,10.0,100,Clouds,overcast clouds,2.06,40,0.0,0.0,OpenWeatherMap
155,15,Kolkata,West Bengal,2026-08-25T10:45:40,2026-08-25,10,30.96,37.96,30.96,30.96,84,1001.0,10.0,99,Clouds,overcast clouds,6.17,160,0.0,0.0,OpenWeatherMap
156,15,Hyderabad,Telangana,2026-08-25T10:45:40,2026-08-25,10,31.11,36.14,29.73,31.74,64,1007.0,10.0,89,Rain,light rain,5.14,260,0.28,0.0,OpenWeatherMap
157,15,Pune,Maharashtra,2026-08-25T10:45:40,2026-08-25,10,28.52,27.65,28.52,29.17,33,1008.0,10.0,61,Clouds,broken clouds,7.03,272,0.0,0.0,OpenWeatherMap
158,15,Ahmedabad,Gujarat,2026-08-25T10:45:40,2026-08-25,10,31.02,34.4,31.02,31.02,58,1004.0,10.0,92,Clouds,overcast clouds,3.09,280,0.0,0.0,OpenWeatherMap
159,15,Jaipur,Rajasthan,2026-08-25T10:45:40,2026-08-25,10,28.68,32.04,28.68,28.68,70,1003.0,10.0,100,Clouds,overcast clouds,2.06,70,0.0,0.0,OpenWeatherMap
160,15,Lucknow,Uttar Pradesh,2026-08-25T10:45:40,2026-08-25,10,29.05,36.05,29.05,29.05,94,1000.0,10.0,100,Clouds,overcast clouds,2.06,40,0.0,0.0,OpenWeatherMap
151,15,Mumbai,Maharashtra,2026-08-25T10:45:39,2026-08-25,10,30.03,36.12,29.98,30.03,74,1007.0,10.0,92,Clouds,overcast clouds,6.17,260,0.0,0.0,OpenWeatherMap
152,15,Delhi,Delhi,2026-08-25T10:45:39,2026-08-25,10,30.99,37.99,30.99,33.07,79,1001.0,10.0,33,Clouds,scattered clouds,2.57,250,0.0,0.0,OpenWeatherMap
153,15,Bangalore,Karnataka,2026-08-25T10:45:39,2026-08-25,10,26.47,26.47,24.95,27.57,74,1009.0,10.0,100,Clouds,overcast clouds,5.14,240,0.0,0.0,OpenWeatherMap
154,15,Chennai,Tamil Nadu,2026-08-25T10:45:39,2026-08-25,10,32.61,39.61,31.77,33.03,69,1005.0,10.0,100,Clouds,overcast clouds,4.12,190,0.0,0.0,OpenWeatherMap
