reading_id,session_id,city_name,state,recorded_at,date_only,hour_of_day,temperature,feels_like,temp_min,temp_max,humidity,pressure,visibility_km,cloudiness,weather_main,weather_description,wind_speed,wind_direction,rain_1h,snow_1h,data_source
8,1,Ahmedabad,Gujarat,2026-08-21T04:46:13,2026-08-21,4,28.02,30.07,28.02,28.02,65,1007.0,10.0,85,Clouds,overcast clouds,2.57,250.0,0.0,0.0,OpenWeatherMap
3,1,Bangalore,Karnataka,2026-08-21T04:46:10,2026-08-21,4,27.0,28.3,24.85,27.79,63,1013.0,10.0,46,Clouds,scattered clouds,5.14,290.0,0.0,0.0,OpenWeatherMap
12,1,Bhopal,Madhya Pradesh,2026-08-21T04:46:16,2026-08-21,4,24.18,24.95,24.18,24.18,88,1008.0,10.0,99,Rain,light rain,5.14,270.0,0.34,0.0,OpenWeatherMap
16,1,Bhubaneswar,Odisha,2026-08-21T04:46:18,2026-08-21,4,31.98,38.98,31.98,31.98,70,1003.0,10.0,88,Clouds,overcast clouds,2.06,240.0,0.0,0.0,OpenWeatherMap
11,1,Chandigarh,Punjab,2026-08-21T04:46:15,2026-08-21,4,29.16,35.89,29.16,29.16,83,1005.0,10.0,60,Clouds,broken clouds,0.52,353.0,0.0,0.0,OpenWeatherMap
4,1,Chennai,Tamil Nadu,2026-08-21T04:46:11,2026-08-21,4,33.64,40.64,32.28,33.91,60,1008.0,10.0,79,Clouds,broken clouds,6.17,290.0,0.0,0.0,OpenWeatherMap
19,1,Dehradun,Uttarakhand,2026-08-21T04:46:20,2026-08-21,4,26.32,26.32,26.32,26.32,84,1006.0,4.92,22,Rain,light rain,1.76,239.0,0.91,0.0,OpenWeatherMap
2,1,Delhi,Delhi,2026-08-21T04:46:10,2026-08-21,4,30.94,35.22,30.94,31.03,62,1004.0,10.0,40,Clouds,scattered clouds,6.69,270.0,0.0,0.0,OpenWeatherMap
15,1,Guwahati,Assam,2026-08-21T04:46:17,2026-08-21,4,31.0,38.0,31.0,31.0,74,1004.0,10.0,53,Rain,light rain,0.0,,0.24,0.0,OpenWeatherMap
6,1,Hyderabad,Telangana,2026-08-21T04:46:12,2026-08-21,4,29.02,31.54,27.73,29.57,63,1010.0,10.0,64,Clouds,broken clouds,32.88,,0.0,0.0,OpenWeatherMap
9,1,Jaipur,Rajasthan,2026-08-21T04:46:14,2026-08-21,4,27.68,29.94,27.68,27.68,69,1006.0,10.0,91,Clouds,overcast clouds,3.6,290.0,0.0,0.0,OpenWeatherMap
14,1,Kochi,Kerala,2026-08-21T04:46:17,2026-08-21,4,28.99,33.08,28.99,28.99,72,1013.0,10.0,62,Rain,light rain,2.74,332.0,0.19,0.0,OpenWeatherMap
5,1,Kolkata,West Bengal,2026-08-21T04:46:12,2026-08-21,4,32.96,39.96,32.96,32.96,70,1003.0,10.0,97,Clouds,overcast clouds,2.57,100.0,0.0,0.0,OpenWeatherMap
10,1,Lucknow,Uttar Pradesh,2026-08-21T04:46:14,2026-08-21,4,32.05,39.05,32.05,32.05,79,1003.0,10.0,67,Clouds,broken clouds,2.57,50.0,0.0,0.0,OpenWeatherMap
1,1,Mumbai,Maharashtra,2026-08-21T04:46:09,2026-08-21,4,30.0,36.04,28.95,30.0,74,1010.0,10.0,83,Rain,light rain,6.17,260.0,0.34,0.0,OpenWeatherMap
13,1,Patna,Bihar,2026-08-21T04:46:16,2026-08-21,4,31.98,38.98,31.98,31.98,70,1003.0,10.0,91,Clouds,overcast clouds,3.6,130.0,0.0,0.0,OpenWeatherMap
7,1,Pune,Maharashtra,2026-08-21T04:46:13,2026-08-21,4,28.38,28.89,28.38,28.38,50,1011.0,10.0,82,Clouds,broken clouds,6.57,267.0,0.0,0.0,OpenWeatherMap
20,1,Raipur,Chhattisgarh,2026-08-21T04:46:20,2026-08-21,4,23.07,24.04,23.07,23.07,100,1006.0,10.0,100,Rain,light rain,6.17,230.0,0.16,0.0,OpenWeatherMap
18,1,Shimla,Himachal Pradesh,2026-08-21T04:46:19,2026-08-21,4,18.74,19.12,18.74,18.74,94,1008.0,10.0,17,Rain,light rain,0.0,,0.32,0.0,OpenWeatherMap
17,1,Srinagar,J&K,2026-08-21T04:46:18,2026-08-21,4,26.7,27.9,26.7,26.7,63,1007.0,10.0,31,Clouds,scattered clouds,0.45,141.0,0.0,0.0,OpenWeatherMap
